</S>       </s rsh 
SVINOVĚ       s v i n o v j e 
SVIŽNÝ       s v i zh n ii 
SVLEČENÁ       s v l e ch e n aa 
SVOBODNĚ       s v o b o d nj e 
SVOBODOU       s v o b o d ow 
SVOBODU       s v o b o d u 
SVOBODY       s v o b o d i 
SVOJE       s v o j e 
SVOJECH       s v o j e x 
SVOJI       s v o j i 
SVOJÍ       s v o j ii 
SVOLÁVAJÍ       s v o l aa v a j ii 
SVOLÁVALI       s v o l aa v a l i 
SVOU       s v ow 
SVUJ       s v u j 
SVÁ       s v aa 
SVÁRU       s v aa r u 
SVÁTEK       s v aa t e k 
SVÁTINU       s v aa tj i n u 
SVÁTKAMA       s v aa t k a m a 
SVÁTKU       s v aa t k u 
SVÁTKY       s v aa t k i 
SVÁZANÝ       s v aa z a n ii 
SVÁZAT       s v aa z a t 
SVÉ       s v ee 
SVÉHO       s v ee h o 
SVÉM       s v ee m 
SVÍTIL       s v ii tj i l 
SVÍTILI       s v ii tj i l i 
SVÍTILY       s v ii tj i l i 
SVÍTIT       s v ii tj i t 
SVÍTÍ       s v ii tj ii 
SVÍČKY       s v ii ch k i 
SVÝ       s v ii 
SVÝCH       s v ii x 
SVÝHO       s v ii h o 
SVÝM       s v ii m 
SVÝMI       s v ii m i 
SVĚDČÍ       s v j e t ch ii 
SVĚT       s v j e t 
SVĚTA       s v j e t a 
SVĚTE       s v j e t e 
SVĚTEM       s v j e t e m 
SVĚTLO       s v j e t l o 
SVĚTLÁ       s v j e t l aa 
SVĚTOVÉ       s v j e t o v ee 
SVĚTOVÝ       s v j e t o v ii 
SVĚTU       s v j e t u 
SVĚTÝLEK       s v j e t ii l e k 
SVĚTÝLKO       s v j e t ii l k o 
SVĚTĚ       s v j e tj e 
SVĚŘENCI       s v j e rzh e n c i 
SVŮDNÝ       s v uu d n ii 
SVŮJ       s v uu j 
SWING       s v i ng k 
SYMBOL       s i m b o l 
SYMBOLIZUJOU       s i m b o l i z u j ow 
SYMFONICKEJ       s i m f o nj i c k e j 
SYMFONICKÝM       s i m f o nj i c k ii m 
SYMPATICKY       s i m p a t i c k i 
SYMPATICKÁ       s i m p a t i c k aa 
SYN       s i n 
SYNA       s i n a 
SYNCH       s i n x 
SYNCHRONIZACE       s i n x r o nj i z a c e 
SYNDIGÁT       s i n d i g aa t 
SYNEK       s i n e k 
SYNEM       s i n e m 
SYNOVI       s i n o v i 
SYNTETIZOVAT       s i n t e tj i z o v a t 
SYNTÉZA       s i n t ee z a 
SYSLOVÝ       s i s l o v ii 
SYSTEMATICKÝM       s i s t e m a t i c k ii m 
SYSTÉM       s i s t ee m 
SYSTÉMOVÉ       s i s t ee m o v ee 
SYSTÉMU       s i s t ee m u 
SÁLY       s aa l i 
SÁM       s aa m 
SÁPE       s aa p e 
SÁZAVOU       s aa z a v ow 
SÁZEL       s aa z e l 
SÁZELA       s aa z e l a 
SÁZELI       s aa z e l i 
SÁZKU       s aa s k u 
SÁČIK       s aa ch i k 
SÁČKY       s aa ch k i 
SÁŇKOVAT       s aa nj k o v a t 
SÉRIE       s ee r i e 
SÍDLIŠTI       s ii d l i sh tj i 
SÍDLIŠTĚ       s ii d l i sh tj e 
SÍLA       s ii l a 
SÍLY       s ii l i 
SÍTĚ       s ii tj e 
SÚ       s uu 
SÚSEDA       s uu s e d a 
SÝR       s ii r 
SÝRECH       s ii r e x 
SÝROVÝ       s ii r o v ii 
SÝRU       s ii r u 
SÝRY       s ii r i 
SÝRŮ       s ii r uu 
SČÍTÁNÍ       s ch ii t aa nj ii 
SŮ       s uu 
TA       t a 
TABLET       t a b l e t 
TABLETKU       t a b l e t k u 
TABLETY       t a b l e t i 
TABULKY       t a b u l k i 
TABULKÁCH       t a b u l k aa x 
TADLE       t a d l e 
TADY       t a d i 
TADYDLE       t a d i d l e 
TADYDLEN       t a d i d l e n 
TADYDLENC       t a d i d l e n c 
TADYDLETĚCH       t a d i d l e tj e x 
TADYHLE       t a d i h l e 
TADYHLETY       t a d i h l e t i 
TADYTU       t a d i t u 
TAHAL       t a h a l 
TAHAT       t a h a t 
TAHLE       t a h l e 
TAHY       t a h i 
TAHÁ       t a h aa 
TAJEMNÝ       t a j e m n ii 
TAJEMSTVÍ       t a j e m s t v ii 
TAJNOSTÍ       t a j n o s tj ii 
TAJNÉ       t a j n ee 
TAJNÉHO       t a j n ee h o 
TAJNÝ       t a j n ii 
TAJNÝCH       t a j n ii x 
TAJNÝMI       t a j n ii m i 
TAJNĚ       t a j nj e 
TAJÍŠ       t a j ii sh 
TAK       t a k 
TAKAVÁ       t a k a v aa 
TAKHLE       t a g h l e 
TAKHLENC       t a g h l e n c 
TAKLE       t a k l e 
TAKLES       t a k l e s 
TAKOUVOU       t a k ow v ow 
TAKOVECH       t a k o v e x 
TAKOVEJ       t a k o v e j 
TAKOVEJCH       t a k o v e j x 
TAKOVOU       t a k o v ow 
TAKOVOUHLE       t a k o v ow h l e 
TAKOVU       t a k o v u 
TAKOVY       t a k o v i 
TAKOVYM       t a k o v i m 
TAKOVÁ       t a k o v aa 
TAKOVÉ       t a k o v ee 
TAKOVÉHLE       t a k o v ee h l e 
TAKOVÉHO       t a k o v ee h o 
TAKOVÉMU       t a k o v ee m u 
TAKOVÝ       t a k o v ii 
TAKOVÝCH       t a k o v ii x 
TAKOVÝDLE       t a k o v ii d l e 
TAKOVÝDLEHO       t a k o v ii d l e h o 
TAKOVÝHLE       t a k o v ii h l e 
TAKOVÝHO       t a k o v ii h o 
TAKOVÝM       t a k o v ii m 
TAKTICKY       t a k t i c k i 
TAKTO       t a k t o 
TAKTÉŽ       t a k t ee sh 
TAKY       t a k i 
TAKZ       t a g s 
TAKÁ       t a k aa 
TAKÉ       t a k ee 
TAKÚ       t a k uu 
TAKÝ       t a k ii 
TAKŽ       t a g sh 
TAKŽE       t a g zh e 
TAKŽES       t a g zh e s 
TALENT       t a l e n t 
TALÍŘKY       t a l ii rsh k i 
TAM       t a m 
TAMNĚJŠÍ       t a m nj e j sh ii 
TAMTEN       t a m t e n 
TAMTO       t a m t o 
TAMTUM       t a m t u m 
TAMTY       t a m t i 
TANCOVAL       t a n c o v a l 
TANCOVALI       t a n c o v a l i 
TANCOVAT       t a n c o v a t 
TANEČNICE       t a n e ch nj i c e 
TANČIT       t a n ch i t 
TAPETOVÝMI       t a p e t o v ii m i 
TARIF       t a r i f 
TARIFEK       t a r i f e k 
TATI       t a tj i 
TATO       t a t o 
TATÍK       t a tj ii k 
TATÍNEK       t a tj ii n e k 
TATÍNKA       t a tj ii ng k a 
TATÍNKEM       t a tj ii ng k e m 
TATÍNKOVI       t a tj ii ng k o v i 
TATÍNKOVY       t a tj ii ng k o v i 
TATÍNKU       t a tj ii ng k u 
TATÍČEK       t a tj ii ch e k 
TAXIKÁŘI       t a k s i k aa rzh i 
TAČR       t a ch r 
TAŠCE       t a sh c e 
TAŠKAMA       t a sh k a m a 
TAŠKOU       t a sh k ow 
TAŠKU       t a sh k u 
TAŠKY       t a sh k i 
TAŤKA       t a tj k a 
TAŤKO       t a tj k o 
TAŤKOU       t a tj k ow 
TAŤKOVI       t a tj k o v i 
TAŤKU       t a tj k u 
TAŤKY       t a tj k i 
TAŤULDA       t a tj u l d a 
TE       t e 
TEA       t e a 
TEBE       t e b e 
TEBOU       t e b ow 
TEBŮ       t e b uu 
TECH       t e x 
TECHNICE       t e x n i c e 
TECHNICKOU       t e x n i c k ow 
TECHNICKY       t e x n i c k i 
TECHNICKÉ       t e x n i c k ee 
TECHNICKÝ       t e x n i c k ii 
TECHNIK       t e x n i k 
TECHNIKA       t e x n i k a 
TECHNIKU       t e x n i k u 
TECHNIKY       t e x n i k i 
TECHNOLOGIE       t e x n o l o g i e 
TECHNOLOGIÍ       t e x n o l o g i ii 
TEDA       t e d a 
TEDY       t e d i 
TEHDEJŠÍ       t e h d e j sh ii 
TEHDY       t e h d i 
TEJ       t e j 
TEJDEN       t e j d e n 
TEJDNE       t e j d n e 
TEJDNĚ       t e j d nj e 
TEKHLE       t e g h l e 
TEKUTÁ       t e k u t aa 
TELEFON       t e l e f o n 
TELEFONEM       t e l e f o n e m 
TELEFONICKY       t e l e f o n i c k i 
TELEFONIZACI       t e l e f o n i z a c i 
TELEFONNÍ       t e l e f o nj ii 
TELEFONOVALA       t e l e f o n o v a l a 
TELEFONU       t e l e f o n u 
TELEFONUJU       t e l e f o n u j u 
TELEFONY       t e l e f o n i 
TELEFONÁT       t e l e f o n aa t 
TELEVIZE       t e l e v i z e 
TELEVIZI       t e l e v i z i 
TELEVIZNÍ       t e l e v i z nj ii 
TELEVIZNÍCH       t e l e v i z nj ii x 
TELEVIZU       t e l e v i z u 
TELEXOMU       t e l e k s o m u 
TEM       t e m 
TEMELÍNA       t e m e l ii n a 
TEMELÍNSKÉ       t e m e l ii n s k ee 
TEMELÍNSKÝ       t e m e l ii n s k ii 
TEMELÍNSKÝCH       t e m e l ii n s k ii x 
TEN       t e n 
TENDENCE       t e n d e n c e 
TENDENCI       t e n d e n c i 
TENDLE       t e n d l e 
TENHLE       t e n h l e 
TENISKY       t e nj i s k i 
TENISTA       t e nj i s t a 
TENKRÁT       t e ng k r aa t 
TENKÝ       t e ng k ii 
TENLE       t e n l e 
TENTO       t e n t o 
TENTOKRÁT       t e n t o k r aa t 
TEORETICKY       t e o r e t i c k i 
TEORETICKÁ       t e o r e t i c k aa 
TEORII       t e o r i i 
TEPELNOU       t e p e l n ow 
TEPLE       t e p l e 
TEPLEJ       t e p l e j 
TEPLO       t e p l o 
TEPLOMĚR       t e p l o m nj e r 
TEPLOTA       t e p l o t a 
TEPLOTU       t e p l o t u 
TEPLOTY       t e p l o t i 
TEPLOU       t e p l ow 
TEPLÁ       t e p l aa 
TEPLÁKY       t e p l aa k i 
TEPLÉ       t e p l ee 
TEPRV       t e p r f 
TEPRVE       t e p r v e 
TEREZA       t e r e z a 
TEREZE       t e r e z e 
TEREZKO       t e r e s k o 
TEREZKU       t e r e s k u 
TEREZÍNĚ       t e r e z ii nj e 
TERKA       t e r k a 
TERMÍN       t e r m ii n 
TERMÍNECH       t e r m ii n e x 
TERMÍNU       t e r m ii n u 
TERČE       t e r ch e 
TESKA       t e s k a 
TESKU       t e s k u 
TEST       t e s t 
TESTOVAT       t e s t o v a t 
TESTOVÁNÍ       t e s t o v aa nj ii 
TESTY       t e s t i 
TETA       t e t a 
TETCE       t e t c e 
TETI       t e tj i 
TETO       t e t o 
TETOU       t e t ow 
TETOVÁNÍ       t e t o v aa nj ii 
TETĚ       t e tj e 
TEXASKÉ       t e k s a s k ee 
TEXT       t e k s t 
TEXTOVKU       t e k s t o f k u 
TEXTU       t e k s t u 
TEČE       t e ch e 
TEČKY       t e ch k i 
TEĎ       t e tj 
TEĎKA       t e tj k a 
TEĎKO       t e tj k o 
TEĎKON       t e tj k o n 
TEĎS       t e tj s 
TEŽKÉ       t e sh k ee 
TGY       d g i 
THAJSKU       d h a j s k u 
THAJSKÉ       d h a j s k ee 
THEI       d h e i 
TI       tj i 
TIBETU       t i b e t u 
TICE       tj i c e 
TICH       tj i x 
TICHO       tj i x o 
TICHOMOŘÍ       tj i x o m o rzh ii 
TIM       tj i m 
TIMA       tj i m a 
TIMDLE       tj i m d l e 
TIMESŮ       tj i m e s uu 
TIMHLE       tj i m h l e 
TIMĚ       tj i m nj e 
TIPLA       tj i p l a 
TIPOVALI       tj i p o v a l i 
TISK       tj i s k 
TISKNOVOU       tj i s k n o v ow 
TISKNUTÁ       tj i s k n u t aa 
TISKOVOU       tj i s k o v ow 
TISKOVÁ       tj i s k o v aa 
TISKU       tj i s k u 
TISÍC       tj i s ii c 
TISÍCE       tj i s ii c e 
TISÍCELITÝMI       tj i s ii c e l i t ii m i 
TISÍCOVKA       tj i s ii c o f k a 
TISÍCOVKU       tj i s ii c o f k u 
TITIŽ       tj i tj i sh 
TITO       tj i t o 
TITULKU       t i t u l k u 
TITULKÁCH       t i t u l k aa x 
TIŠE       tj i sh e 
TJO       t j o 
TKANIČKY       t k a nj i ch k i 
TLAK       t l a k 
TLAKEM       t l a k e m 
TLAKOVYM       t l a k o v i m 
TLAKU       t l a k u 
TLAKŮ       t l a k uu 
TLAČÍTKEM       t l a ch ii t k e m 
TLAČÍTKO       t l a ch ii t k o 
TLUMIVÉ       t l u m i v ee 
TLUSTÝ       t l u s t ii 
TMA       t m a 
TMAVEJ       t m a v e j 
TMAVOU       t m a v ow 
TMAVÁ       t m a v aa 
TMAVÝ       t m a v ii 
TMAVĚ       t m a v j e 
TMOU       t m ow 
TMY       t m i 
TMĚ       t m nj e 
TO       t o 
TOALETNÍ       t o a l e t nj ii 
TOBUDEŠ       t o b u d e sh 
TOBĚ       t o b j e 
TODEL       t o d e l 
TODLE       t o d l e 
TODLEN       t o d l e n 
TODLETO       t o d l e t o 
TOFU       t o f u 
TOHLE       t o h l e 
TOHLEC       t o h l e c 
TOHO       t o h o 
TOHOHLE       t o h o h l e 
TOHOTO       t o h o t o 
TOJE       t o j e 
TOKŮ       t o k uu 
TOLIK       t o l i k 
TOLIKA       t o l i k a 
TOLIKHLE       t o l i g h l e 
TOLIKRÁT       t o l i k r aa t 
TOLIKÁTEJ       t o l i k aa t e j 
TOM       t o m 
TOMANOVÝMA       t o m a n o v ii m a 
TOMHLE       t o m h l e 
TOMI       t o m i 
TOMTO       t o m t o 
TOMU       t o m u 
TOMY       t o m i 
TOMÁŠ       t o m aa sh 
TOMÁŠA       t o m aa sh a 
TOMÁŠE       t o m aa sh e 
TOMÁŠEM       t o m aa sh e m 
TOMÁŠI       t o m aa sh i 
TOMÁŠOVI       t o m aa sh o v i 
TON       t o n 
TONI       t o nj i 
TONKU       t o ng k u 
TONY       t o n i 
TONÍK       t o nj ii k 
TOPIM       t o p i m 
TOPINEK       t o p i n e k 
TOPIT       t o p i t 
TORPÉDO       t o r p ee d o 
TOS       t o s 
TOSME       t o s m e 
TOTIŽ       t o tj i sh 
TOTO       t o t o 
TOTÉŽ       t o t ee sh 
TOU       t ow 
TOUSTY       t ow s t i 
TOUŽILA       t ow zh i l a 
TOUŽÍM       t ow zh ii m 
TOVÁRNA       t o v aa r n a 
TOVÁRNU       t o v aa r n u 
TOČIL       t o ch i l 
TOČILY       t o ch i l i 
TOŽ       t o sh 
TRADICÍM       t r a d i c ii m 
TRADIČNÍ       t r a d i ch nj ii 
TRAKTORA       t r a k t o r a 
TRAKTORISTA       t r a k t o r i s t a 
TRAMTARADÁ       t r a m t a r a d aa 
TRAMTARÁ       t r a m t a r aa 
TRAMVAJ       t r a m v a j 
TRAMVAJE       t r a m v a j e 
TRAMVAJKOU       t r a m v a j k ow 
TRAMVAJOVECH       t r a m v a j o v e x 
TRAMVAJÍ       t r a m v a j ii 
TRANSFORMACE       t r a n s f o r m a c e 
TRANSFUZE       t r a n s f u z e 
TRANSPORT       t r a n s p o r t 
TRANSSEXUÁLA       t r a n s e k s u aa l a 
TRAPNĚ       t r a p nj e 
TRASA       t r a s a 
TRASE       t r a s e 
TRASOU       t r a s ow 
TRASY       t r a s i 
TRAVIČSKÉMU       t r a v i ch s k ee m u 
TRAVŇÁČE       t r a v nj aa ch e 
TRAŠNĚ       t r a sh nj e 
TREFIL       t r e f i l 
TREK       t r e k 
TRENDU       t r e n d u 
TRENÉR       t r e n ee r 
TREST       t r e s t 
TRESTNÍ       t r e s t nj ii 
TRESTNÝ       t r e s t n ii 
TRESTU       t r e s t u 
TRH       t r x 
TRHAT       t r h a t 
TRHU       t r h u 
TRHÁK       t r h aa k 
TRIANONU       t r i a n o n u 
TRICHOBIT       t r i x o b i t 
TRICHOBITHRI       t r i x o b i d h r i 
TRIK       t r i k 
TRIKO       t r i k o 
TRILOBIT       t r i l o b i t 
TRIČKO       t r i ch k o 
TROCHU       t r o x u 
TROJ       t r o j 
TROJANOVA       t r o j a n o v a 
TROJANOVÁ       t r o j a n o v aa 
TROJKA       t r o j k a 
TROJKOŠI       t r o j k o sh i 
TROJKU       t r o j k u 
TROJSKÁ       t r o j s k aa 
TROJÁNEK       t r o j aa n e k 
TROJÚHELNÍK       t r o j uu h e l nj ii k 
TROPIKO       t r o p i k o 
TROSKÁCH       t r o s k aa x 
TROUBIL       t r ow b i l 
TROUBIČKA       t r ow b i ch k a 
TROUFÁŠ       t r ow f aa sh 
TROŠCE       t r o sh c e 
TROŠIČKU       t r o sh i ch k u 
TROŠKU       t r o sh k u 
TROŠKUS       t r o sh k u s 
TROŠLU       t r o sh l u 
TRPIM       t r p i m 
TRPĚT       t r p j e t 
TRUBIČKY       t r u b i ch k i 
TRUBKA       t r u p k a 
TRUBOU       t r u b ow 
TRUBU       t r u b u 
TRUDOMYSLNOST       t r u d o m i s l n o s t 
TRUDOMYSLNOSTI       t r u d o m i s l n o s tj i 
TRUHLÍKU       t r u h l ii k u 
TRUTNOVA       t r u t n o v a 
TRUTNOVĚ       t r u t n o v j e 
TRVAL       t r v a l 
TRVALKÁM       t r v a l k aa m 
TRVALO       t r v a l o 
TRVAT       t r v a t 
TRVÁ       t r v aa 
TRÁGA       t r aa g a 
TRÁPENÍ       t r aa p e nj ii 
TRÁPI       t r aa p i 
TRÁPILA       t r aa p i l a 
TRÁPILI       t r aa p i l i 
TRÁPÍ       t r aa p ii 
TRÁVA       t r aa v a 
TRÁVIT       t r aa v i t 
TRÁVNÍKU       t r aa v nj ii k u 
TRÁVU       t r aa v u 
TRÁVÍŠ       t r aa v ii sh 
TRÉNINK       t r ee nj i ng k 
TRÉNINKU       t r ee nj i ng k u 
TRÉNOVACÍ       t r ee n o v a c ii 
TRÉNOVALI       t r ee n o v a l i 
TRÉNOVALO       t r ee n o v a l o 
TRÉNOVANÁ       t r ee n o v a n aa 
TRÉNOVAT       t r ee n o v a t 
TRÉNUJEŠ       t r ee n u j e sh 
TRÓJE       t r o j e 
TRŽIŠTI       t r zh i sh tj i 
TRŽIŠTÍCH       t r zh i sh tj ii x 
TRŽNICE       t r zh nj i c e 
TU       t u 
TUCET       t u c e t 
TUDIMAN       t u dj i m a n 
TUDJIMAN       t u d j i m a n 
TUDLE       t u d l e 
TUDLECTU       t u d l e c t u 
TUHLE       t u h l e 
TUHLETU       t u h l e t u 
TUHÉHO       t u h ee h o 
TUHÝ       t u h ii 
TUNELEM       t u n e l e m 
TUNELOVACÍHO       t u n e l o v a c ii h o 
TUNELOVÉHO       t u n e l o v ee h o 
TUNELU       t u n e l u 
TUNELŮ       t u n e l uu 
TUNU       t u n u 
TUOLEVOVY       t u o l e v o v i 
TUPLÁKA       t u p l aa k a 
TUPOLEVOVY       t u p o l e v o v i 
TURBÍNY       t u r b ii n i 
TURECKA       t u r e c k a 
TURISTI       t u r i s tj i 
TURISTÉ       t u r i s t ee 
TURKA       t u r k a 
TURNAJ       t u r n a j 
TURNUS       t u r n u s 
TURNÉ       t u r n ee 
TUTO       t u t o 
TUTY       t u t i 
TUĎ       t u tj 
TUŇÁKY       t u nj aa k i 
TUŠILA       t u sh i l a 
TUŠIM       t u sh i m 
TUŠÍM       t u sh ii m 
TVAR       t v a r 
TVARŮŽKY       t v a r uu sh k i 
TVOJE       t v o j e 
TVOJÍ       t v o j ii 
TVOR       t v o r 
TVOU       t v ow 
TVOŘEJ       t v o rzh e j 
TVOŘILI       t v o rzh i l i 
TVOŘIT       t v o rzh i t 
TVOŘÍ       t v o rzh ii 
TVRDIL       t v r dj i l 
TVRDIM       t v r dj i m 
TVRDOHLAVÁ       t v r d o h l a v aa 
TVRDOU       t v r d ow 
TVRDÁ       t v r d aa 
TVRDÉ       t v r d ee 
TVRDÍ       t v r dj ii 
TVRDÝ       t v r d ii 
TVRDÝHO       t v r d ii h o 
TVRDŠÍ       t v r t sh ii 
TVRZ       t v r s 
TVRZENÍ       t v r z e nj ii 
TVRZOVÉ       t v r z o v ee 
TVÁ       t v aa 
TVÁŘE       t v aa rzh e 
TVÁŘILA       t v aa rzh i l a 
TVÁŘÍ       t v aa rzh ii 
TVÉ       t v ee 
TVÉHO       t v ee h o 
TVÉMU       t v ee m u 
TVÝHO       t v ii h o 
TVŮJ       t v uu j 
TY       t i 
TYDLE       t i d l e 
TYJO       t i j o 
TYM       t i m 
TYP       t i p 
TYPICKY       t i p i c k i 
TYPICKÝ       t i p i c k ii 
TYPICKÝM       t i p i c k ii m 
TYPOVAL       t i p o v a l 
TYPOVĚ       t i p o v j e 
TYRŠOVO       t i r sh o v o 
TYS       t i s 
TYTO       t i t o 
TYČE       t i ch e 
TYČKOU       t i ch k ow 
TZ       d s 
TÁBOR       t aa b o r 
TÁBOREM       t aa b o r e m 
TÁBORY       t aa b o r i 
TÁBOŘE       t aa b o rzh e 
TÁDŽIKISTÁNU       t aa ch i k i s t aa n u 
TÁHL       t aa h l 
TÁHNEŠ       t aa h n e sh 
TÁHNOUT       t aa h n ow t 
TÁTA       t aa t a 
TÁTE       t aa t e 
TÁTO       t aa t o 
TÁTOU       t aa t ow 
TÁTOVI       t aa t o v i 
TÁTU       t aa t u 
TÁŇA       t aa nj a 
TÁŇO       t aa nj o 
TÁŇOU       t aa nj ow 
TÉ       t ee 
TÉMA       t ee m a 
TÉMATA       t ee m a t a 
TÉMATICKY       t ee m a t i c k i 
TÉMATICKÁ       t ee m a t i c k aa 
TÉMĚŘ       t ee m nj e rsh 
TÉTO       t ee t o 
TÉČO       t ee ch o 
TÉŽ       t ee sh 
TÍM       tj ii m 
TÍMTO       tj ii m t o 
TÍPLO       tj ii p l o 
TÍSNĚ       tj ii s nj e 
TÓ       t o 
TÓNOVOU       t o n o v ow 
TÚRU       t uu r u 
TÝ       t ii 
TÝDEN       t ii d e n 
TÝDNE       t ii d n e 
TÝDNECH       t ii d n e x 
TÝDNU       t ii d n u 
TÝDNŮ       t ii d n uu 
TÝKAJÍ       t ii k a j ii 
TÝKAT       t ii k a t 
TÝKÁ       t ii k aa 
TÝM       t ii m 
TÝMECH       t ii m e x 
TÝMU       t ii m u 
TÝMY       t ii m i 
TÝMŮ       t ii m uu 
TÝNCE       t ii n c e 
TÝNECKÁ       t ii n e c k aa 
TÝPEK       t ii p e k 
TÝČE       t ii ch e 
TĚ       tj e 
TĚCH       tj e x 
TĚCHHLE       tj e h h l e 
TĚCHMÝCH       tj e x m ii x 
TĚCHTO       tj e x t o 
TĚH       tj e x 
TĚHLETĚCH       tj e h l e tj e x 
TĚHOTENSTVÍ       tj e h o t e n s t v ii 
TĚLA       tj e l a 
TĚLE       tj e l e 
TĚLESNÉ       tj e l e s n ee 
TĚLO       tj e l o 
TĚLOCVIKU       tj e l o c v i k u 
TĚLOVÝCHOVY       tj e l o v ii x o v i 
TĚM       tj e m 
TĚMA       tj e m a 
TĚMADLE       tj e m a d l e 
TĚMAHLECTĚMA       tj e m a h l e c tj e m a 
TĚMTO       tj e m t o 
TĚSNÝ       tj e s n ii 
TĚSNĚ       tj e s nj e 
TĚSNĚNÍ       tj e s nj e nj ii 
TĚSTO       tj e s t o 
TĚSTOVINY       tj e s t o v i n i 
TĚSÍM       tj e s ii m 
TĚĎ       tj e tj 
TĚĎKA       tj e tj k a 
TĚŠIJOU       tj e sh i j ow 
TĚŠIM       tj e sh i m 
TĚŠIT       tj e sh i t 
TĚŠÍ       tj e sh ii 
TĚŠÍE       tj e sh ii e 
TĚŠÍM       tj e sh ii m 
TĚŠÍME       tj e sh ii m e 
TĚŠÍŠ       tj e sh ii sh 
TĚŽIŠTĚM       tj e zh i sh tj e m 
TĚŽKEJ       tj e sh k e j 
TĚŽKO       tj e sh k o 
TĚŽKÁ       tj e sh k aa 
TĚŽKÉ       tj e sh k ee 
TĚŽKÝ       tj e sh k ii 
TĚŽŠÍ       tj e sh ii 
TŘEBA       t rsh e b a 
TŘEBAS       t rsh e b a s 
TŘEBONI       t rsh e b o nj i 
TŘEBOVNICI       t rsh e b o v nj i c i 
TŘECH       t rsh e x 
TŘEMA       t rsh e m a 
TŘENŮ       t rsh e n uu 
TŘES       t rsh e s 
TŘETÍ       t rsh e tj ii 
TŘETÍHO       t rsh e tj ii h o 
TŘETÍM       t rsh e tj ii m 
TŘEŠNĚ       t rsh e sh nj e 
TŘEŤÁCI       t rsh e tj aa c i 
TŘEŤÁKU       t rsh e tj aa k u 
TŘI       t rsh i 
TŘIATŘICET       t rsh i a t rsh i c e t 
TŘICET       t rsh i c e t 
TŘICETI       t rsh i c e tj i 
TŘICTET       t rsh i c t e t 
TŘICÁTÉHO       t rsh i c aa t ee h o 
TŘICÁTÝCH       t rsh i c aa t ii x 
TŘICÁTÝHO       t rsh i c aa t ii h o 
TŘICÍTKY       t rsh i c ii t k i 
TŘIKRÁT       t rsh i k r aa t 
TŘINÁCT       t rsh i n aa c t 
TŘINÁCTI       t rsh i n aa c tj i 
TŘINÁCTÉHO       t rsh i n aa c t ee h o 
TŘINÁCTÝHO       t rsh i n aa c t ii h o 
TŘISTA       t rsh i s t a 
TŘIČTVRTĚ       t rsh i ch t v r tj e 
TŘÍ       t rsh ii 
TŘÍDA       t rsh ii d a 
TŘÍDNÍ       t rsh ii d nj ii 
TŘÍDOU       t rsh ii d ow 
TŘÍDU       t rsh ii d u 
TŘÍDY       t rsh ii d i 
TŘÍDÁCH       t rsh ii d aa x 
TŘÍDÍ       t rsh ii dj ii 
TŘÍDÍM       t rsh ii dj ii m 
TŘÍDĚ       t rsh ii dj e 
TŘÍSLO       t rsh ii s l o 
TŘÍŠLO       t rsh ii sh l o 
TŮ       t uu 
TŮTAT       t uu t a t 
TŮTÁNÍ       t uu t aa nj ii 
U       u 
UBERE       u b e r e 
UBLÍŽIL       u b l ii zh i l 
UBOHÝ       u b o h ii 
UBRANÝ       u b r a n ii 
UBYTOVÁNÍ       u b i t o v aa nj ii 
UBĚHNE       u b j e h n e 
UCHA       u x a 
UCHAZEČI       u x a z e ch i 
UCHECHTÁVÁNÍ       u x e x t aa v aa nj ii 
UCHO       u x o 
UCHU       u x u 
UCPANÝ       u c p a n ii 
UCTILA       u c tj i l a 
UCTÍVÁNÍ       u c tj ii v aa nj ii 
UDALA       u d a l a 
UDEŘIL       u d e rzh i l 
UDRŽÍŠ       u d r zh ii sh 
UDÁLOSTÍ       u d aa l o s tj ii 
UDĚLAJÍ       u dj e l a j ii 
UDĚLAL       u dj e l a l 
UDĚLALA       u dj e l a l a 
UDĚLALAT       u dj e l a l a t 
UDĚLALI       u dj e l a l i 
UDĚLALO       u dj e l a l o 
UDĚLAM       u dj e l a m 
UDĚLANÝ       u dj e l a n ii 
UDĚLAT       u dj e l a t 
UDĚLEJ       u dj e l e j 
UDĚLÁ       u dj e l aa 
UDĚLÁM       u dj e l aa m 
UDĚLÁME       u dj e l aa m e 
UDĚLÁTE       u dj e l aa t e 
UDĚLÁŠ       u dj e l aa sh 
UF       u f 
UFOTIT       u f o tj i t 
UHASILI       u h a s i l i 
UHERSKEJ       u h e r s k e j 
UHRIN       u h r i n 
UJDE       u j d e 
UJÍŽDÍ       u j ii zh dj ii 
UKAMENOVALO       u k a m e n o v a l o 
UKAZOVAL       u k a z o v a l 
UKAZOVALA       u k a z o v a l a 
UKAZOVALI       u k a z o v a l i 
UKAZOVALO       u k a z o v a l o 
UKAZOVALY       u k a z o v a l i 
UKAZUJOU       u k a z u j ow 
UKAŽ       u k a sh 
UKAŽMU       u k a zh m u 
UKECÁM       u k e c aa m 
UKLIDIM       u k l i dj i m 
UKLIDIT       u k l i dj i t 
UKLIDÍTE       u k l i dj ii t e 
UKLIDŇUJÍCÍ       u k l i d nj u j ii c ii 
UKLÁDÁ       u k l aa d aa 
UKLÍZEJ       u k l ii z e j 
UKLÍZEL       u k l ii z e l 
UKLÍZET       u k l ii z e t 
UKLÍZIM       u k l ii z i m 
UKLÍZÍM       u k l ii z ii m 
